Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
53,0.441667,-1.807457,0.899706,2.073348,-1.092405,0.930449,2.595378,,,,,,,,,
54,0.450000,-1.807242,0.899711,2.073225,-1.092385,0.930372,2.595533,,,,,,,,,
55,0.458333,-1.806934,0.899705,2.073061,-1.092361,0.930303,2.595668,,,,,,,,,
56,0.466667,-1.806550,0.899689,2.072865,-1.092350,0.930260,2.595852,,,,,,,,,
57,0.475000,-1.806135,0.899653,2.072683,-1.092344,0.930215,2.596005,,,,,,,,,
58,0.483333,-1.805684,0.899606,2.072511,-1.092345,0.930186,2.596176,,,,,,,,,
59,0.491667,-1.805136,0.899559,2.072297,-1.092352,0.930175,2.596336,,,,,,,,,
60,0.500000,-1.804497,0.899512,2.072076,-1.092358,0.930193,2.596491,,,,,,,,,
61,0.508333,-1.803847,0.899476,2.071868,-1.092353,0.930235,2.596620,,,,,,,,,
62,0.516667,-1.803175,0.899477,2.071656,-1.092365,0.930297,2.596720,,,,,,,,,
63,0.525000,-1.802525,0.899484,2.071479,-1.092403,0.930369,2.596781,,,,,,,,,
64,0.533333,-1.801876,0.899505,2.071334,-1.092477,0.930451,2.596817,,,,,,,,,
65,0.541667,-1.801218,0.899581,2.071214,-1.092564,0.930536,2.596842,,,,,,,,,
66,0.550000,-1.800548,0.899672,2.071094,-1.092650,0.930628,2.596835,,,,,,,,,
67,0.558333,-1.799830,0.899816,2.071006,-1.092733,0.930720,2.596797,,,,,,,,,
68,0.566667,-1.799096,0.899989,2.070918,-1.092834,0.930813,2.596720,,,,,,,,,
69,0.575000,-1.798428,0.900203,2.070879,-1.092941,0.930894,2.596624,,,,,,,,,
70,0.583333,-1.797711,0.900478,2.070883,-1.093081,0.930958,2.596483,,,,,,,,,
71,0.591667,-1.796986,0.900781,2.070857,-1.093238,0.931007,2.596363,,,,,,,,,
72,0.600000,-1.796288,0.901101,2.070930,-1.093380,0.931031,2.596244,,,,,,,,,
73,0.608333,-1.795545,0.901463,2.070992,-1.093496,0.931063,2.596124,,,,,,,,,
74,0.616667,-1.794838,0.901830,2.071071,-1.093591,0.931068,2.596008,,,,,,,,,
75,0.625000,-1.794054,0.902232,2.071232,-1.093657,0.931069,2.595895,,,,,,,,,
76,0.633333,-1.793277,0.902647,2.071369,-1.093726,0.931055,2.595787,,,,,,,,,
77,0.641667,-1.792432,0.903122,2.071625,-1.093784,0.931016,2.595680,,,,,,,,,
78,0.650000,-1.791655,0.903560,2.071947,-1.093851,0.930960,2.595586,,,,,,,,,
79,0.658333,-1.791008,0.903988,2.072273,-1.093923,0.930871,2.595496,,,,,,,,,
80,0.666667,-1.790196,0.904515,2.072745,-1.093972,0.930751,2.595424,,,,,,,,,
81,0.675000,-1.789492,0.905043,2.073268,-1.094013,0.930622,2.595364,,,,,,,,,
82,0.683333,-1.788746,0.905631,2.073800,-1.094033,0.930478,2.595304,,,,,,,,,
83,0.691667,-1.788114,0.906281,2.074410,-1.094060,0.930324,2.595252,,,,,,,,,
84,0.700000,-1.787542,0.906918,2.074981,-1.094073,0.930158,2.595232,,,,,,,,,
