Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
5957,49.641667,-1.551663,0.972525,1.662312,-1.117465,0.932590,2.597180,,,,,,,,,
5958,49.650000,-1.551275,0.972724,1.662465,-1.117479,0.932585,2.597170,,,,,,,,,
5959,49.658333,-1.550877,0.972943,1.662674,-1.117498,0.932584,2.597144,,,,,,,,,
5960,49.666667,-1.550444,0.973204,1.662940,-1.117509,0.932586,2.597140,,,,,,,,,
5961,49.675000,-1.549979,0.973489,1.663281,-1.117505,0.932590,2.597142,,,,,,,,,
5962,49.683333,-1.549514,0.973783,1.663668,-1.117501,0.932608,2.597158,,,,,,,,,
5963,49.691667,-1.549058,0.974060,1.664083,-1.117491,0.932623,2.597176,,,,,,,,,
5964,49.700000,-1.548554,0.974359,1.664542,-1.117489,0.932631,2.597205,,,,,,,,,
5965,49.708333,-1.548072,0.974660,1.665017,-1.117497,0.932625,2.597250,,,,,,,,,
5966,49.716667,-1.547616,0.974952,1.665450,-1.117509,0.932601,2.597314,,,,,,,,,
5967,49.725000,-1.547169,0.975237,1.665853,-1.117523,0.932567,2.597387,,,,,,,,,
5968,49.733333,-1.546722,0.975527,1.666219,-1.117522,0.932542,2.597468,,,,,,,,,
5969,49.741667,-1.546298,0.975811,1.666526,-1.117500,0.932515,2.597534,,,,,,,,,
5970,49.750000,-1.545937,0.976066,1.666791,-1.117466,0.932498,2.597589,,,,,,,,,
5971,49.758333,-1.545572,0.976309,1.667093,-1.117419,0.932493,2.597641,,,,,,,,,
5972,49.766667,-1.545238,0.976513,1.667380,-1.117355,0.932497,2.597685,,,,,,,,,
5973,49.775000,-1.544975,0.976669,1.667645,-1.117311,0.932524,2.597718,,,,,,,,,
5974,49.783333,-1.544748,0.976772,1.667908,-1.117299,0.932582,2.597709,,,,,,,,,
5975,49.791667,-1.544534,0.976830,1.668185,-1.117331,0.932687,2.597658,,,,,,,,,
5976,49.800000,-1.544345,0.976836,1.668465,-1.117420,0.932867,2.597524,,,,,,,,,
5977,49.808333,-1.544185,0.976798,1.668757,-1.117622,0.933164,2.597249,,,,,,,,,
5978,49.816667,-1.544075,0.976719,1.669056,-1.117923,0.933548,2.596826,,,,,,,,,
5979,49.825000,-1.544016,0.976604,1.669360,-1.118345,0.934072,2.596293,,,,,,,,,
5980,49.833333,-1.543996,0.976466,1.669670,-1.118935,0.934733,2.595574,,,,,,,,,
5981,49.841667,-1.544001,0.976309,1.669961,-1.119729,0.935626,2.594770,,,,,,,,,
5982,49.850000,-1.544035,0.976156,1.670199,-1.120688,0.936657,2.593739,,,,,,,,,
5983,49.858333,-1.544076,0.976017,1.670377,-1.121857,0.937970,2.592548,,,,,,,,,
5984,49.866667,-1.544131,0.975895,1.670514,-1.123285,0.939576,2.591110,,,,,,,,,
5985,49.875000,-1.544199,0.975782,1.670624,-1.124957,0.941445,2.589485,,,,,,,,,
5986,49.883333,-1.544253,0.975706,1.670710,-1.126890,0.943632,2.587572,,,,,,,,,
5987,49.891667,-1.544297,0.975644,1.670780,-1.129140,0.946126,2.585433,,,,,,,,,
5988,49.900000,-1.544326,0.975602,1.670851,-1.131685,0.948933,2.582949,,,,,,,,,
5989,49.908333,-1.544339,0.975572,1.670942,-1.134532,0.952045,2.580136,,,,,,,,,
5990,49.916667,-1.544334,0.975548,1.671069,-1.137694,0.955440,2.576888,,,,,,,,,
5991,49.925000,-1.544306,0.975539,1.671240,-1.141149,0.959201,2.573322,,,,,,,,,
5992,49.933333,-1.544246,0.975545,1.671460,-1.144864,0.963281,2.569379,,,,,,,,,
5993,49.941667,-1.544157,0.975566,1.671700,-1.148909,0.967642,2.565053,,,,,,,,,
5994,49.950000,-1.544036,0.975602,1.671955,-1.153208,0.972310,2.560339,,,,,,,,,
5995,49.958333,-1.543883,0.975634,1.672241,-1.157809,0.977201,2.555187,,,,,,,,,
5996,49.966667,-1.543715,0.975662,1.672515,-1.162657,0.982335,2.549670,,,,,,,,,
5997,49.975000,-1.543533,0.975690,1.672796,-1.167668,0.987736,2.543843,,,,,,,,,
5998,49.983333,-1.543325,0.975719,1.673090,-1.172833,0.993331,2.537678,,,,,,,,,
5999,49.991667,-1.543097,0.975767,1.673403,-1.178077,0.999170,2.531262,,,,,,,,,
6000,50.000000,-1.542836,0.975820,1.673727,-1.183355,1.005185,2.524594,,,,,,,,,
6001,50.008333,-1.542534,0.975887,1.674079,-1.188699,1.011337,2.517658,,,,,,,,,
6002,50.016667,-1.542193,0.975936,1.674479,-1.194064,1.017685,2.510606,,,,,,,,,
6003,50.025000,-1.541803,0.975926,1.674988,-1.199433,1.024165,2.503378,,,,,,,,,
6004,50.033333,-1.541354,0.975856,1.675637,-1.204719,1.030769,2.496032,,,,,,,,,
6005,50.041667,-1.540710,0.975677,1.676658,-1.210003,1.037458,2.488552,,,,,,,,,
6006,50.050000,-1.540169,0.975455,1.677719,-1.215240,1.044261,2.480907,,,,,,,,,
6007,50.058333,-1.539539,0.975228,1.679031,-1.220316,1.051156,2.473140,,,,,,,,,
6008,50.066667,-1.538839,0.974978,1.680594,-1.225333,1.058127,2.465211,,,,,,,,,
6009,50.075000,-1.538055,0.974658,1.682469,-1.230200,1.065128,2.457156,,,,,,,,,
6010,50.083333,-1.537229,0.974301,1.684652,-1.234968,1.072211,2.449004,,,,,,,,,
6011,50.091667,-1.536536,0.973748,1.687164,-1.239654,1.079314,2.440730,,,,,,,,,
6012,50.100000,-1.535548,0.973264,1.690067,-1.244215,1.086418,2.432367,,,,,,,,,
6013,50.108333,-1.534464,0.972713,1.693357,-1.248696,1.093565,2.423993,,,,,,,,,
6014,50.116667,-1.533303,0.972155,1.696980,-1.252970,1.100627,2.415499,,,,,,,,,
6015,50.125000,-1.532118,0.971582,1.700963,-1.257079,1.107673,2.407034,,,,,,,,,
6016,50.133333,-1.530957,0.970929,1.705308,-1.261032,1.114652,2.398587,,,,,,,,,
6017,50.141667,-1.529797,0.970254,1.710026,-1.264744,1.121563,2.390147,,,,,,,,,
6018,50.150000,-1.528585,0.969562,1.715081,-1.268310,1.128390,2.381691,,,,,,,,,
6019,50.158333,-1.527309,0.968902,1.720510,-1.271715,1.135145,2.373324,,,,,,,,,
6020,50.166667,-1.526020,0.968218,1.726308,-1.274961,1.141827,2.364963,,,,,,,,,
6021,50.175000,-1.524815,0.967365,1.732475,-1.278038,1.148446,2.356633,,,,,,,,,
6022,50.183333,-1.523826,0.966433,1.738771,-1.280910,1.154982,2.348288,,,,,,,,,
6023,50.191667,-1.522873,0.965605,1.745621,-1.283573,1.161464,2.339972,,,,,,,,,
6024,50.200000,-1.521914,0.964919,1.752391,-1.285984,1.167803,2.331639,,,,,,,,,
6025,50.208333,-1.521061,0.964234,1.759468,-1.288158,1.174050,2.323350,,,,,,,,,
6026,50.216667,-1.520219,0.963535,1.766610,-1.290153,1.180177,2.315265,,,,,,,,,
6027,50.225000,-1.519283,0.963241,1.774317,-1.291963,1.186089,2.307433,,,,,,,,,
6028,50.233333,-1.518431,0.963106,1.782198,-1.293591,1.191867,2.299809,,,,,,,,,
6029,50.241667,-1.517700,0.963187,1.790226,-1.295046,1.197494,2.292358,,,,,,,,,
6030,50.250000,-1.517227,0.963342,1.798133,-1.296252,1.202984,2.285099,,,,,,,,,
6031,50.258333,-1.516552,0.963528,1.806285,-1.297232,1.208306,2.277989,,,,,,,,,
6032,50.266667,-1.515955,0.963915,1.814713,-1.298020,1.213452,2.271001,,,,,,,,,
6033,50.275000,-1.515295,0.964322,1.823142,-1.298436,1.218511,2.264107,,,,,,,,,
6034,50.283333,-1.514659,0.964899,1.831576,-1.298882,1.223261,2.257481,,,,,,,,,
6035,50.291667,-1.514205,0.965564,1.840216,-1.299273,1.227757,2.251060,,,,,,,,,
6036,50.300000,-1.513624,0.966369,1.848664,-1.299566,1.232033,2.244745,,,,,,,,,
6037,50.308333,-1.513021,0.967282,1.857143,-1.299789,1.236077,2.238539,,,,,,,,,
6038,50.316667,-1.512344,0.968208,1.865529,-1.299953,1.239887,2.232429,,,,,,,,,
6039,50.325000,-1.511502,0.969491,1.873866,-1.300033,1.243448,2.226428,,,,,,,,,
6040,50.333333,-1.510508,0.970987,1.881914,-1.300051,1.246756,2.220544,,,,,,,,,
6041,50.341667,-1.509346,0.972608,1.890065,-1.299965,1.249769,2.214812,,,,,,,,,
6042,50.350000,-1.507837,0.974044,1.897936,-1.299773,1.252479,2.209214,,,,,,,,,
6043,50.358333,-1.506065,0.975884,1.906048,-1.299488,1.254873,2.203778,,,,,,,,,
6044,50.366667,-1.504323,0.977976,1.914122,-1.299114,1.256926,2.198559,,,,,,,,,
6045,50.375000,-1.502508,0.980376,1.922131,-1.298690,1.258693,2.193575,,,,,,,,,
6046,50.383333,-1.500662,0.983012,1.929960,-1.298246,1.260207,2.188893,,,,,,,,,
6047,50.391667,-1.498777,0.986004,1.937573,-1.297776,1.261384,2.184299,,,,,,,,,
6048,50.400000,-1.496844,0.989193,1.944869,-1.297294,1.262316,2.179883,,,,,,,,,
6049,50.408333,-1.494883,0.992716,1.951821,-1.296752,1.262932,2.175522,,,,,,,,,
6050,50.416667,-1.492806,0.996822,1.958348,-1.296190,1.263430,2.171503,,,,,,,,,
6051,50.425000,-1.490480,1.000813,1.964855,-1.295557,1.263631,2.167499,,,,,,,,,
6052,50.433333,-1.487637,1.004682,1.970629,-1.294903,1.263674,2.163575,,,,,,,,,
6053,50.441667,-1.484915,1.008975,1.976669,-1.294208,1.263510,2.159685,,,,,,,,,
6054,50.450000,-1.482159,1.013445,1.982509,-1.293505,1.263218,2.155896,,,,,,,,,
6055,50.458333,-1.479334,1.018089,1.988194,-1.292747,1.262799,2.152147,,,,,,,,,
6056,50.466667,-1.476270,1.022749,1.993566,-1.292007,1.262254,2.148464,,,,,,,,,
6057,50.475000,-1.473196,1.027435,1.998745,-1.291222,1.261595,2.144856,,,,,,,,,
6058,50.483333,-1.470105,1.032099,2.003689,-1.290414,1.260845,2.141330,,,,,,,,,
6059,50.491667,-1.466897,1.036743,2.008416,-1.289577,1.260096,2.137712,,,,,,,,,
6060,50.500000,-1.463685,1.041305,2.012793,-1.288732,1.259157,2.134472,,,,,,,,,
6061,50.508333,-1.460535,1.045760,2.016953,-1.287804,1.258184,2.131376,,,,,,,,,
6062,50.516667,-1.457396,1.050117,2.020778,-1.286628,1.257185,2.128067,,,,,,,,,
6063,50.525000,-1.454294,1.054309,2.024325,-1.285486,1.256107,2.125110,,,,,,,,,
6064,50.533333,-1.451304,1.058359,2.027632,-1.284219,1.255009,2.122409,,,,,,,,,
6065,50.541667,-1.448362,1.062243,2.030699,-1.282908,1.253858,2.119969,,,,,,,,,
6066,50.550000,-1.445686,1.066111,2.033686,-1.281552,1.252681,2.117778,,,,,,,,,
6067,50.558333,-1.442987,1.069789,2.036399,-1.280212,1.251473,2.115856,,,,,,,,,
6068,50.566667,-1.440431,1.073373,2.038970,-1.278894,1.250225,2.114120,,,,,,,,,
6069,50.575000,-1.437993,1.076819,2.041403,-1.277699,1.248902,2.112630,,,,,,,,,
6070,50.583333,-1.435610,1.079994,2.043556,-1.276555,1.247520,2.111294,,,,,,,,,
6071,50.591667,-1.433304,1.082887,2.045479,-1.275559,1.246045,2.110132,,,,,,,,,
6072,50.600000,-1.431131,1.085525,2.047178,-1.274680,1.244519,2.109079,,,,,,,,,
6073,50.608333,-1.428990,1.087873,2.048705,-1.273852,1.242975,2.108092,,,,,,,,,
6074,50.616667,-1.427027,1.090015,2.050107,-1.273092,1.241399,2.107185,,,,,,,,,
6075,50.625000,-1.425144,1.091991,2.051445,-1.272339,1.239881,2.106318,,,,,,,,,
6076,50.633333,-1.423407,1.093780,2.052593,-1.271639,1.238410,2.105512,,,,,,,,,
6077,50.641667,-1.421930,1.095408,2.053660,-1.270819,1.237082,2.104813,,,,,,,,,
6078,50.650000,-1.420735,1.096846,2.054691,-1.269902,1.235903,2.104172,,,,,,,,,
6079,50.658333,-1.419662,1.097948,2.055677,-1.268991,1.234866,2.103537,,,,,,,,,
6080,50.666667,-1.418509,1.098673,2.056436,-1.268024,1.233936,2.102883,,,,,,,,,
6081,50.675000,-1.417306,1.099179,2.056947,-1.267150,1.233108,2.102306,,,,,,,,,
6082,50.683333,-1.416152,1.099654,2.057248,-1.266237,1.232360,2.101796,,,,,,,,,
6083,50.691667,-1.414967,1.100033,2.057378,-1.265376,1.231733,2.101318,,,,,,,,,
6084,50.700000,-1.413966,1.100420,2.057698,-1.264545,1.231215,2.100902,,,,,,,,,
6085,50.708333,-1.413088,1.100754,2.058126,-1.263827,1.230790,2.100520,,,,,,,,,
6086,50.716667,-1.412247,1.100934,2.058465,-1.263156,1.230437,2.100122,,,,,,,,,
6087,50.725000,-1.411549,1.101147,2.058696,-1.262597,1.230155,2.099726,,,,,,,,,
6088,50.733333,-1.410897,1.101259,2.058606,-1.262197,1.229936,2.099361,,,,,,,,,
6089,50.741667,-1.410315,1.101247,2.058252,-1.261916,1.229781,2.099011,,,,,,,,,
6090,50.750000,-1.409811,1.101143,2.057754,-1.261706,1.229690,2.098655,,,,,,,,,
6091,50.758333,-1.409323,1.100924,2.057099,-1.261518,1.229669,2.098295,,,,,,,,,
6092,50.766667,-1.408938,1.100753,2.056474,-1.261315,1.229705,2.097905,,,,,,,,,
6093,50.775000,-1.408576,1.100591,2.055837,-1.261103,1.229739,2.097547,,,,,,,,,
6094,50.783333,-1.408215,1.100382,2.055085,-1.260938,1.229757,2.097168,,,,,,,,,
6095,50.791667,-1.407977,1.100219,2.054365,-1.260782,1.229762,2.096904,,,,,,,,,
6096,50.800000,-1.407658,1.100046,2.053526,-1.260706,1.229793,2.096731,,,,,,,,,
6097,50.808333,-1.407365,1.099986,2.052815,-1.260714,1.229830,2.096603,,,,,,,,,
6098,50.816667,-1.406964,1.099948,2.052144,-1.260834,1.229849,2.096546,,,,,,,,,
6099,50.825000,-1.406454,1.099815,2.051498,-1.261043,1.229888,2.096501,,,,,,,,,
6100,50.833333,-1.406005,1.099625,2.051045,-1.261267,1.229940,2.096407,,,,,,,,,
6101,50.841667,-1.405540,1.099349,2.050650,-1.261463,1.230008,2.096290,,,,,,,,,
6102,50.850000,-1.405177,1.099052,2.050318,-1.261604,1.230105,2.096137,,,,,,,,,
6103,50.858333,-1.404899,1.098676,2.049984,-1.261686,1.230230,2.095922,,,,,,,,,
6104,50.866667,-1.404604,1.098243,2.049622,-1.261755,1.230359,2.095717,,,,,,,,,
6105,50.875000,-1.404301,1.097910,2.049255,-1.261817,1.230475,2.095524,,,,,,,,,
6106,50.883333,-1.404037,1.097672,2.048931,-1.261827,1.230582,2.095302,,,,,,,,,
6107,50.891667,-1.403761,1.097426,2.048614,-1.261815,1.230713,2.095075,,,,,,,,,
6108,50.900000,-1.403433,1.097196,2.048270,-1.261805,1.230879,2.094838,,,,,,,,,
6109,50.908333,-1.403111,1.096989,2.047887,-1.261742,1.231071,2.094628,,,,,,,,,
6110,50.916667,-1.402810,1.096750,2.047468,-1.261588,1.231318,2.094495,,,,,,,,,
6111,50.925000,-1.402519,1.096504,2.047047,-1.261311,1.231617,2.094475,,,,,,,,,
6112,50.933333,-1.402275,1.096301,2.046695,-1.260983,1.231972,2.094547,,,,,,,,,
6113,50.941667,-1.402043,1.096105,2.046328,-1.260649,1.232322,2.094724,,,,,,,,,
6114,50.950000,-1.401783,1.095909,2.045731,-1.260234,1.232642,2.094980,,,,,,,,,
6115,50.958333,-1.401462,1.095704,2.044691,-1.259741,1.232876,2.095363,,,,,,,,,
6116,50.966667,-1.401150,1.095493,2.043442,-1.259214,1.233024,2.095841,,,,,,,,,
6117,50.975000,-1.400953,1.095249,2.042121,-1.258681,1.233138,2.096539,,,,,,,,,
6118,50.983333,-1.400853,1.094894,2.040695,-1.258134,1.233253,2.097450,,,,,,,,,
6119,50.991667,-1.400887,1.094472,2.039102,-1.257608,1.233310,2.098636,,,,,,,,,
6120,51.000000,-1.400962,1.094050,2.037337,-1.257151,1.233371,2.100184,,,,,,,,,
6121,51.008333,-1.401165,1.093577,2.035542,-1.256790,1.233448,2.102119,,,,,,,,,
6122,51.016667,-1.401420,1.092974,2.033674,-1.256388,1.233582,2.104364,,,,,,,,,
6123,51.025000,-1.401561,1.092135,2.031559,-1.255869,1.233780,2.106833,,,,,,,,,
6124,51.033333,-1.401818,1.091240,2.029565,-1.255122,1.234018,2.109575,,,,,,,,,
6125,51.041667,-1.402009,1.090145,2.027434,-1.254252,1.234245,2.112721,,,,,,,,,
6126,51.050000,-1.402355,1.088993,2.025346,-1.253240,1.234394,2.116414,,,,,,,,,
6127,51.058333,-1.402724,1.087681,2.023078,-1.252151,1.234430,2.120512,,,,,,,,,
6128,51.066667,-1.403252,1.086352,2.020839,-1.251046,1.234333,2.124996,,,,,,,,,
6129,51.075000,-1.403780,1.084852,2.018360,-1.249960,1.234101,2.129668,,,,,,,,,
6130,51.083333,-1.404394,1.083209,2.015820,-1.249088,1.233592,2.134656,,,,,,,,,
6131,51.091667,-1.405008,1.081381,2.013165,-1.248604,1.232821,2.140235,,,,,,,,,
6132,51.100000,-1.405736,1.079412,2.010354,-1.248391,1.231842,2.145988,,,,,,,,,
6133,51.108333,-1.406461,1.077282,2.007398,-1.248276,1.230747,2.151756,,,,,,,,,
6134,51.116667,-1.407112,1.075028,2.004325,-1.248391,1.229350,2.157931,,,,,,,,,
6135,51.125000,-1.407824,1.072680,2.001108,-1.248645,1.227747,2.164451,,,,,,,,,
6136,51.133333,-1.408383,1.070156,1.997714,-1.248942,1.225877,2.171232,,,,,,,,,
6137,51.141667,-1.408772,1.067368,1.993928,-1.249221,1.223718,2.178329,,,,,,,,,
6138,51.150000,-1.409373,1.064456,1.990029,-1.249452,1.221288,2.185612,,,,,,,,,
6139,51.158333,-1.409985,1.061300,1.985756,-1.249651,1.218587,2.193174,,,,,,,,,
6140,51.166667,-1.410729,1.057946,1.981260,-1.249773,1.215598,2.200899,,,,,,,,,
6141,51.175000,-1.411645,1.054452,1.976577,-1.249799,1.212306,2.208765,,,,,,,,,
6142,51.183333,-1.412692,1.050834,1.971612,-1.249827,1.208861,2.216921,,,,,,,,,
6143,51.191667,-1.413898,1.047092,1.966488,-1.249857,1.205138,2.225260,,,,,,,,,
6144,51.200000,-1.415125,1.043260,1.961122,-1.249891,1.201117,2.233977,,,,,,,,,
6145,51.208333,-1.416399,1.039284,1.955628,-1.249882,1.196820,2.243112,,,,,,,,,
6146,51.216667,-1.418118,1.035469,1.950422,-1.249734,1.192175,2.252582,,,,,,,,,
6147,51.225000,-1.419779,1.031298,1.944839,-1.249426,1.187258,2.262258,,,,,,,,,
6148,51.233333,-1.421613,1.027022,1.939026,-1.248927,1.181872,2.272384,,,,,,,,,
6149,51.241667,-1.423650,1.022712,1.933156,-1.248272,1.176205,2.282544,,,,,,,,,
6150,51.250000,-1.425877,1.018160,1.927034,-1.247499,1.170286,2.292815,,,,,,,,,
6151,51.258333,-1.428202,1.013466,1.920755,-1.246582,1.164130,2.303154,,,,,,,,,
6152,51.266667,-1.430786,1.008635,1.914369,-1.245724,1.157665,2.313663,,,,,,,,,
6153,51.275000,-1.433578,1.003725,1.907818,-1.244550,1.151110,2.324010,,,,,,,,,
6154,51.283333,-1.436619,0.998821,1.901220,-1.243232,1.144239,2.334660,,,,,,,,,
6155,51.291667,-1.439783,0.993984,1.894743,-1.241778,1.137213,2.345324,,,,,,,,,
6156,51.300000,-1.442957,0.989283,1.888796,-1.240140,1.129993,2.356071,,,,,,,,,
6157,51.308333,-1.446060,0.984692,1.882681,-1.238308,1.122622,2.366859,,,,,,,,,
6158,51.316667,-1.449035,0.980247,1.876405,-1.236281,1.115074,2.377671,,,,,,,,,
6159,51.325000,-1.452255,0.976003,1.870582,-1.234113,1.107343,2.388373,,,,,,,,,
6160,51.333333,-1.455484,0.971840,1.864596,-1.231738,1.099520,2.399122,,,,,,,,,
6161,51.341667,-1.458816,0.967726,1.858576,-1.229170,1.091562,2.409664,,,,,,,,,
6162,51.350000,-1.462203,0.963715,1.852584,-1.226464,1.083490,2.420149,,,,,,,,,
6163,51.358333,-1.465584,0.959927,1.846713,-1.223564,1.075337,2.430446,,,,,,,,,
6164,51.366667,-1.468837,0.956306,1.840931,-1.220539,1.067125,2.440510,,,,,,,,,
6165,51.375000,-1.471943,0.952908,1.835411,-1.217385,1.058876,2.450417,,,,,,,,,
6166,51.383333,-1.474966,0.949669,1.830056,-1.214141,1.050626,2.460068,,,,,,,,,
6167,51.391667,-1.477949,0.946613,1.824701,-1.210823,1.042414,2.469537,,,,,,,,,
6168,51.400000,-1.480934,0.943784,1.819392,-1.207423,1.034238,2.478720,,,,,,,,,
6169,51.408333,-1.483887,0.941108,1.814358,-1.203932,1.026128,2.487643,,,,,,,,,
6170,51.416667,-1.486775,0.938426,1.809190,-1.200352,1.018138,2.496176,,,,,,,,,
6171,51.425000,-1.489595,0.935669,1.803956,-1.196722,1.010281,2.504308,,,,,,,,,
6172,51.433333,-1.492378,0.933018,1.798859,-1.193028,1.002586,2.512013,,,,,,,,,
6173,51.441667,-1.495109,0.930410,1.793866,-1.189321,0.995053,2.519342,,,,,,,,,
6174,51.450000,-1.497795,0.927961,1.788948,-1.185583,0.987733,2.526285,,,,,,,,,
6175,51.458333,-1.500323,0.925683,1.784167,-1.181844,0.980644,2.532894,,,,,,,,,
6176,51.466667,-1.502599,0.923584,1.779428,-1.178105,0.973803,2.539141,,,,,,,,,
6177,51.475000,-1.504493,0.921773,1.774776,-1.174383,0.967197,2.544981,,,,,,,,,
6178,51.483333,-1.506004,0.920138,1.770148,-1.170733,0.960819,2.550414,,,,,,,,,
6179,51.491667,-1.507192,0.918679,1.765821,-1.167303,0.954670,2.555487,,,,,,,,,
6180,51.500000,-1.508470,0.917218,1.761345,-1.164110,0.948814,2.560164,,,,,,,,,
6181,51.508333,-1.509745,0.915785,1.756740,-1.161199,0.943174,2.564356,,,,,,,,,
6182,51.516667,-1.510937,0.914450,1.752142,-1.158502,0.937949,2.568116,,,,,,,,,
6183,51.525000,-1.511983,0.913301,1.747545,-1.156118,0.933039,2.571566,,,,,,,,,
6184,51.533333,-1.512865,0.912322,1.743119,-1.153906,0.928581,2.574605,,,,,,,,,
6185,51.541667,-1.513905,0.911329,1.738645,-1.151801,0.924420,2.577278,,,,,,,,,
6186,51.550000,-1.514809,0.910446,1.734043,-1.149691,0.920598,2.579507,,,,,,,,,
6187,51.558333,-1.515723,0.909640,1.729644,-1.147696,0.917073,2.581677,,,,,,,,,
6188,51.566667,-1.516597,0.908986,1.725239,-1.145841,0.913802,2.583430,,,,,,,,,
6189,51.575000,-1.517405,0.908400,1.720763,-1.144199,0.910879,2.584890,,,,,,,,,
6190,51.583333,-1.518235,0.907852,1.716264,-1.142727,0.908166,2.586189,,,,,,,,,
6191,51.591667,-1.519059,0.907234,1.711863,-1.141174,0.905769,2.587252,,,,,,,,,
6192,51.600000,-1.519950,0.906439,1.707704,-1.139180,0.903780,2.588359,,,,,,,,,
6193,51.608333,-1.521024,0.905437,1.703857,-1.137666,0.901878,2.589219,,,,,,,,,
6194,51.616667,-1.522055,0.904359,1.700142,-1.136607,0.900181,2.589981,,,,,,,,,
6195,51.625000,-1.522903,0.903129,1.696460,-1.135641,0.898543,2.590652,,,,,,,,,
6196,51.633333,-1.523677,0.901702,1.692939,-1.134851,0.897024,2.591200,,,,,,,,,
6197,51.641667,-1.524344,0.900248,1.689576,-1.134211,0.895783,2.591714,,,,,,,,,
6198,51.650000,-1.525035,0.898855,1.686429,-1.133758,0.894664,2.592034,,,,,,,,,
6199,51.658333,-1.525670,0.897583,1.683382,-1.133437,0.893810,2.592205,,,,,,,,,
6200,51.666667,-1.526272,0.896365,1.680503,-1.133173,0.893294,2.592295,,,,,,,,,
6201,51.675000,-1.526870,0.895113,1.677737,-1.133368,0.892944,2.592507,,,,,,,,,
6202,51.683333,-1.527422,0.893877,1.675107,-1.133288,0.892805,2.592659,,,,,,,,,
6203,51.691667,-1.527911,0.892630,1.672738,-1.133302,0.892811,2.592793,,,,,,,,,
6204,51.700000,-1.528405,0.891270,1.670430,-1.133368,0.892885,2.592941,,,,,,,,,
6205,51.708333,-1.528847,0.889902,1.668198,-1.133440,0.892988,2.593142,,,,,,,,,
6206,51.716667,-1.529240,0.888484,1.666150,-1.133529,0.893081,2.593413,,,,,,,,,
6207,51.725000,-1.529562,0.887025,1.664155,-1.133638,0.893134,2.593768,,,,,,,,,
6208,51.733333,-1.529908,0.885625,1.662151,-1.133781,0.893195,2.594120,,,,,,,,,
6209,51.741667,-1.530311,0.884274,1.660085,-1.134015,0.893311,2.594458,,,,,,,,,
6210,51.750000,-1.530983,0.883068,1.657861,-1.134211,0.893486,2.594864,,,,,,,,,
6211,51.758333,-1.531968,0.882039,1.655495,-1.134372,0.893683,2.595300,,,,,,,,,
6212,51.766667,-1.533118,0.881045,1.653324,-1.134576,0.893900,2.595717,,,,,,,,,
6213,51.775000,-1.534319,0.880173,1.651363,-1.134809,0.894107,2.596111,,,,,,,,,
6214,51.783333,-1.535400,0.879416,1.649509,-1.135028,0.894299,2.596511,,,,,,,,,
6215,51.791667,-1.536448,0.878773,1.647797,-1.135276,0.894485,2.596882,,,,,,,,,
6216,51.800000,-1.537463,0.878163,1.646267,-1.135585,0.894660,2.597198,,,,,,,,,
6217,51.808333,-1.538395,0.877510,1.645020,-1.135960,0.894837,2.597435,,,,,,,,,
6218,51.816667,-1.539266,0.876806,1.644019,-1.136379,0.895012,2.597558,,,,,,,,,
6219,51.825000,-1.539973,0.876047,1.643180,-1.136814,0.895149,2.597614,,,,,,,,,
6220,51.833333,-1.540543,0.875215,1.642497,-1.137235,0.895240,2.597634,,,,,,,,,
6221,51.841667,-1.540940,0.874374,1.641912,-1.137690,0.895241,2.597646,,,,,,,,,
6222,51.850000,-1.541239,0.873487,1.641387,-1.138182,0.895134,2.597629,,,,,,,,,
6223,51.858333,-1.541436,0.872591,1.640908,-1.138670,0.894927,2.597553,,,,,,,,,
6224,51.866667,-1.541521,0.871708,1.640597,-1.139167,0.894631,2.597373,,,,,,,,,
6225,51.875000,-1.541535,0.870936,1.640544,-1.139672,0.894269,2.597170,,,,,,,,,
6226,51.883333,-1.541436,0.870113,1.640521,-1.140220,0.893846,2.596954,,,,,,,,,
6227,51.891667,-1.541308,0.869401,1.640608,-1.140668,0.893383,2.596760,,,,,,,,,
6228,51.900000,-1.541151,0.868687,1.640749,-1.140985,0.892949,2.596589,,,,,,,,,
6229,51.908333,-1.541033,0.868037,1.640873,-1.141360,0.892548,2.596414,,,,,,,,,
